"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainCoPolar) []","dB(GainCrossPolar) []"
25.65,90,164,-6.99011028807303,-33.9393579238453
25.65,90,166,-9.30039102872241,-35.1185193526694
25.65,90,168,-13.0943453135851,-37.8969472545893
25.65,90,170,-20.6443669339403,-42.1207124396994
25.65,90,172,-25.734854294577,-42.1288661807821
25.65,90,174,-15.5928734595923,-38.4429883792894
25.65,90,176,-11.4751610854631,-36.2246380470026
25.65,90,178,-9.28539817764005,-35.4171070551023
25.65,90,180,-8.1103254311298,-35.5902271776516
25.87,90,-180,-6.93038063005831,-34.0087699111792
25.87,90,-178,-6.41826660605844,-35.0985616534936
25.87,90,-176,-6.33108249820172,-36.6609701221078
25.87,90,-174,-6.54277995133179,-38.1957305386091
25.87,90,-172,-6.95234259059103,-39.1072650305264
25.87,90,-170,-7.47634319390425,-39.2808229879957
25.87,90,-168,-8.05147252674302,-39.092297653171
25.87,90,-166,-8.63828810004536,-38.7321060083834
25.87,90,-164,-9.21712500702338,-38.0385864212737
25.87,90,-162,-9.77081555353753,-36.9009132378064
25.87,90,-160,-10.2556745168005,-35.5810656215767
25.87,90,-158,-10.5736447910034,-34.4735972897119
25.87,90,-156,-10.5845737959634,-33.8183021900514
25.87,90,-154,-10.2029642321946,-33.6681521332838
25.87,90,-152,-9.50834904053481,-33.9247724596432
25.87,90,-150,-8.71266965017765,-34.3791179016113
25.87,90,-148,-8.02790076865678,-34.8528622541488
25.87,90,-146,-7.58968989752935,-35.4107982521414
25.87,90,-144,-7.45435907432213,-36.3483805831192
25.87,90,-142,-7.61924738711723,-37.8762471036433
25.87,90,-140,-8.04640381441541,-39.4362772204329
25.87,90,-138,-8.69430571235899,-39.1904907685442
25.87,90,-136,-9.55483597275149,-37.3312835489767
25.87,90,-134,-10.6608618691731,-35.7861184989841
25.87,90,-132,-11.9972667289192,-35.222110454996
25.87,90,-130,-13.2292983221051,-35.715719084303
25.87,90,-128,-13.4958755177514,-37.2681433092392
25.87,90,-126,-12.4483279441061,-39.8712035528018
